,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
61,0.9394615384615385,326.99615384615385,0.0841852802945944,82.556,0.5787738020253366,1431.023343,28.057494866529623,4.295325343,10.0,17.277907128841047,0.3248461538461811,73.9274102129887,3.88,2.984169284502665,-0.2374911352816312,-1.0747638377839315,1.9167486423740787,3.155646718073827,1.4480488921302932,1.2374911352816311
62,0.9394615384615385,329.5602564102564,0.07211410053238779,112.322,0.495784441160166,1621.863507,25.0513347022586,5.398350628,10.0,20.170056116725622,0.09974358974363895,76.9464740670877,3.94,3.156039015452067,-0.3047071064998441,-1.1419798090021442,2.050464827880733,3.2100143020015133,1.3988308694601117,1.3047071064998441
63,0.9394615384615385,332.124358974359,0.06659441390387205,153.166,0.4578365955891203,1866.663421,23.04722792607822,5.759727126,10.0,21.841853832441068,0.3386410256410386,79.78050374984741,4.0,3.3241876562436423,-0.3392894964425736,-1.1765621989448738,2.185162370706811,3.2710660171563513,1.3626186968056728,1.3392894964425737
64,0.9394615384615385,334.6884615384615,0.06259982482353421,194.09,0.4303737956617977,2246.991756,22.045174537987805,5.771366638000001,10.0,23.235615413393656,0.37053846153850145,82.09435727919265,4.06,3.4740784923235575,-0.3661541795952397,-1.20342688209754,2.288003160031862,3.3516014790367183,1.343313541610285,1.3661541795952397
65,0.9394615384615385,337.25256410256407,0.06205899855478486,235.26,0.42665561506414595,3351.632962,20.04106776180697,5.35025917,10.0,23.43810709838318,0.35543589743593884,84.21892531462085,4.12,3.6189191937446594,-0.36992253439715206,-1.2071952368994523,2.3715480926838506,3.525256452886093,1.3019208564520572,1.3699225343971522
66,0.9394615384615385,339.81666666666666,0.06682990592263952,271.585,0.45945560321814666,2568.362373,20.04106776180697,3.7339787529999997,10.0,21.764888554971133,0.12733333333335395,85.90744160785499,4.19,3.756937483946482,-0.33775644773577945,-1.1750291502380796,2.433905779610212,3.4096562987938377,1.3019208564520572,1.3377564477357793
67,0.9394615384615385,342.3807692307692,0.08514141896127317,320.643,0.585347255358753,545.609245,27.055441478439434,1.405811511,10.0,17.083876123876426,1.177230769230789,87.60385257356307,4.25,3.888421654701233,-0.23258641367307525,-1.0698591161753754,2.5060217632161237,2.7368817205532405,1.4322546249470638,1.232586413673075
68,0.9394615384615385,344.9448717948718,0.13981422255933668,353.326,0.9612227800954396,47.35132847,43.088295687884965,0.32202709090000003,10.0,10.403415531836545,2.025128205128226,89.23447401102256,4.31,4.019234851996104,-0.017175945366561328,-0.8544486478688615,2.54817559679251,1.6753321679031148,1.6343593163676624,1.0171759453665614
69,0.9394615384615385,347.50897435897434,,,,,,,10.0,,,89.30557238335297,4.38,4.090759329001108,,,,,,
70,0.9394615384615385,350.0730769230769,,,,,,,10.0,,,89.27471020415022,4.44,4.1479668617248535,,,,,,
71,0.9394615384615385,352.6371794871795,,,,,,,10.0,,,89.16879230031262,4.5,4.201670841375987,,,,,,
72,0.9394615384615385,355.201282051282,,,,,,,10.0,,,88.84937301211887,4.56,4.245108350118001,,,,,,
73,0.9394615384615385,357.7653846153846,,,,,,,10.0,,,88.52905417474317,4.62,4.28815506696701,,,,,,
74,0.9394615384615385,360.32948717948716,,,,,,,10.0,,,88.02821637791102,4.69,4.331679097811381,,,,,,
75,0.9394615384615385,362.8935897435897,,,,,,,10.0,,,87.71380858609552,4.75,4.374179430802664,,,,,,
76,0.9394615384615385,365.4576923076923,,,,,,,10.0,,,87.40984874411086,4.81,4.416864927609762,,,,,,
77,0.9394615384615385,368.02179487179484,,,,,,,10.0,,,86.97826568806758,4.88,4.462299585342407,,,,,,
78,0.9394615384615385,370.58589743589744,,,,,,,10.0,,,86.69271460391893,4.94,4.505175785223643,,,,,,
79,0.9394615384615385,373.15,,,,,,,10.0,,,86.39489931265513,5.0,4.547099963823954,,,,,,
80,0.944923076923077,273.15,,,,,,,10.0,,,85.58643409422108,5.06,4.561484690507253,,,,,,
81,0.944923076923077,275.7141025641025,,,,,,,10.0,,,84.87651035301387,5.12,4.580182683467865,,,,,,
82,0.944923076923077,278.2782051282051,,,,,,,10.0,,,83.92256786655598,5.19,4.594010412693024,,,,,,
83,0.944923076923077,280.84230769230766,,,,,,,10.0,,,83.15922307816761,5.25,4.607766977945963,,,,,,
84,0.944923076923077,283.40641025641025,,,,,,,10.0,,,82.4147168184928,5.31,4.621630016962687,,,,,,
85,0.944923076923077,285.9705128205128,,,,,,,10.0,,,81.52410664514095,5.38,4.635380403200785,,,,,,
86,0.944923076923077,288.53461538461534,,,,,,,10.0,,,80.81411967102218,5.44,4.649204854170481,,,,,,
87,0.944923076923077,291.09871794871793,,,,,,,10.0,,,80.12435461391102,5.5,4.6633222262064615,,,,,,
88,0.944923076923077,293.6628205128205,,,,,,,10.0,,,79.44177830287879,5.56,4.677004313468933,,,,,,
89,0.944923076923077,296.2269230769231,,,,,,,10.0,,,78.77812362192364,5.62,4.690962648391723,,,,,,
90,0.944923076923077,298.7910256410256,,,,,,,10.0,,,77.98016332965464,5.69,4.704772869745891,,,,,,
91,0.944923076923077,301.3551282051282,,,,,,,10.0,,,77.34864036484042,5.75,4.718882568677267,,,,,,
92,0.944923076923077,303.91923076923075,,,,,,,10.0,,,76.78426023792825,5.81,4.736347297827403,,,,,,
93,0.944923076923077,306.4833333333333,,,,,,,10.0,,,76.03344681719804,5.88,4.750070838133494,,,,,,
94,0.944923076923077,309.0474358974359,,,,,,,10.0,,,75.43790937248704,5.94,4.7639930009841915,,,,,,
95,0.944923076923077,311.61153846153843,0.4057089038615618,13.803,2.7892487140482367,4.962662495,109.22381930184815,0.22117289299999998,10.0,3.585194805194077,0.1264615384615695,76.31523584922155,6.0,4.8711852669715885,0.4454872415241302,-0.39178546097817,1.1399734879844585,0.6957147403306593,2.0383173587287002,0.5545127584758698
96,0.944923076923077,314.175641025641,0.21159271608102365,23.394,1.4546999230570374,25.96349189,86.17659137576993,0.7266093253,10.0,6.874269972452531,0.22435897435894958,77.69678679051573,6.06,5.012162315845489,0.16277341586419283,-0.6744992866381074,1.3691044855716292,1.4143631013245748,1.9353893120316434,0.8372265841358071
