,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
1036,1.0705384615384617,365.4576923076923,6.313382138246201e-06,3508420.608,8.680900440088526e-05,0.007620966899,3280779.3764322735,9.999842114,10.0,115195.4232054068,0.6893076923076933,-4.061435224606968,-5.199737922773249,6.545111653332378,-2.1179899246891614,6.515977026234984,5.061435224606967
1037,1.0705384615384617,368.02179487179484,5.716555260637778e-06,3962176.34,7.860263483376945e-05,0.008738590761,3225932.5183556313,9.999798511000002,10.0,127222.19835439634,0.8412051282051607,-4.104562895759731,-5.2428655939260125,6.597933800274893,-2.0585585987235113,6.50865527836221,5.104562895759731
1038,1.0705384615384617,370.58589743589744,5.206860631590596e-06,4465262.592,7.15943336843707e-05,0.005171623297,3732856.21681183,9.999836951999999,10.0,139675.8582052847,1.0171025641025722,-4.145121348460156,-5.283424046626437,6.649847003852391,-2.2863731168141523,6.5720412619735,5.1451213484601555
1039,1.0705384615384617,373.15,4.83530557205508e-06,4911788.851,6.648545161575735e-05,0.004195738236,4803046.920108423,9.99987047,10.0,150408.8451980968,0.6920000000000073,-4.177273376865796,-5.3155760750320775,6.691239688992932,-2.3771916144267418,6.681516829204993,5.177273376865797
1040,1.076,273.15,0.0006253070099399957,22149.12,0.008597971386674941,12.46212387,1254.927704874749,9.967363866,10.0,1163.0650475876098,3.7270000000000323,-2.065604004512087,-3.2039067026783683,4.345356476078903,1.095592063704982,3.0986187072685842,3.0656040045120867
1041,1.076,275.7141025641025,0.0006253070099399957,22149.12,0.008597971386674941,12.46212387,1254.927704874749,9.967363866,10.0,1163.0650475876098,1.1628974358974915,-2.065604004512087,-3.2039067026783683,4.345356476078903,1.095592063704982,3.0986187072685842,3.0656040045120867
1042,1.076,278.2782051282051,0.0005355278979935884,25582.234,0.00736350859741184,6.82980781,1715.5931716464486,9.976904069,10.0,1358.0482548108719,0.5707948717948739,-2.1329152017749387,-3.2712178999412203,4.4079384670976305,0.8344084828571047,3.2344143090043347,3.1329152017749387
1043,1.076,280.84230769230766,0.0004167406596708034,30954.503,0.005730184070473546,5.863289752,2375.5762866770915,9.98080502,10.0,1745.144637068106,0.6426923076923572,-2.2418314269842745,-3.380134125150556,4.4907238354498675,0.7681413566759019,3.3757689814405256,3.2418314269842745
1044,1.076,283.40641025641025,0.0003608144236041037,35752.451,0.004961198324556425,5.75739356,3010.304298290358,9.986549044,10.0,2015.6420577873362,0.0635897435897732,-2.30441341163769,-3.442716109803971,4.553305820103185,0.7602259176771795,3.478610398712995,3.3044134116376895
1045,1.076,285.9705128205128,-0.0002828932908014494,45423.488,-0.0038897827485199292,11.12413051,2176.7444711864155,9.827093230000001,10.0,-2570.8376653696205,0.3754871794872088,,,4.657280479971587,1.0462660754312756,3.337807450048382,
1046,1.076,288.53461538461534,0.0002512870246568649,56310.11,0.0034551965890318925,2.31241862,5490.560455256662,9.984723478,10.0,2894.1913266943484,1.2023846153846875,-2.461527237695612,-3.599829935861893,4.750586375722226,0.36406645773243934,3.739616677820237,3.461527237695612
1047,1.076,291.09871794871793,0.000216517936053026,64890.698,0.0029771216207291075,2.71967101,6428.610176515369,9.987283188,10.0,3358.949103849834,0.7202820512820836,-2.5262034232865496,-3.664506121452831,4.812182445693937,0.4345163719816121,3.808117091444924,3.5262034232865496
